Image,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo,avset,distance,confi,Score
1_voice_en_35042754_ahead,44.11738292,3.926496896,8.045617614,4.369555749,68.30991664,0.335010244,0.365548174,3.796505264,45.43017389,53.94252494,0.505361765,0.511256404,55.62439951,0.469596691,0.065317852,3.449064985,3.885423938,4.233283791,0.593942704,0.661562847,0.565749664,0,4.028164864,0.31361866,0.4
1_voice_en_35042754_dinet,28.73117321,6.180227046,4.227216107,5.613511686,60.55508072,0.462001129,0.37359243,4.663536305,58.88935988,60.88718279,0.548791316,0.609481805,42.70107488,0.393554711,0.36215341,4.531311466,4.830356537,4.951803559,0.807715276,0.838448566,0.811966678,0,3.29523468,0.009186745,1.4
1_voice_en_35042754_dreamtalk,16.03298007,6.536948148,6.316810292,5.006815221,72.8602987,0.605941298,0.47143161,4.226532481,54.61493349,61.62387963,0.694667773,0.523206345,71.43147433,0.577968376,0.233527782,3.605583708,4.267459885,4.937930088,0.620434681,0.669494838,0.621381216,-1,4.207164764,0.944831848,2
1_voice_en_35042754_iplap,30.38351718,5.959148618,4.282809136,5.518963512,58.58446163,0.456499911,0.361975855,4.635810504,52.49679096,56.24545028,0.504349687,0.594057169,37.58098395,0.381863711,0.336422622,4.372054354,4.795145784,5.052597219,0.959521854,0.974133492,0.959582163,0,0.333081245,2.674872398,0.5
1_voice_en_35042754_mkittalk,27.12994809,4.451130896,6.657902112,4.822188294,70.65285983,0.326218352,0.378150155,3.813570601,50.26806907,60.51334565,0.68703041,0.571781682,57.59091057,0.545942167,0.221025942,3.731945269,3.891670393,4.637413831,0.792657482,0.842061839,0.802350429,-3,2.866291046,0.526201248,3
1_voice_en_35042754_sad,33.33886386,5.397422577,5.582394302,5.744647946,73.4116196,0.370712891,0.421159812,4.868150962,67.69188636,63.12522836,0.518939331,0.611759829,73.04236382,0.539450396,0.513599173,4.609590445,4.812104071,5.259071945,0.796360417,0.87862588,0.787488932,-1,2.992788315,0.929660797,3.8
1_voice_en_35042754_vidtalk,38.87703474,3.719385637,5.882300264,5.825623569,48.98122567,0.257036409,0.254036979,4.286499097,51.91390819,53.23788631,0.390168841,0.535385217,24.68550697,0.291152048,0.301609144,4.229769747,4.732327502,5.172362396,0.832580881,0.883321441,0.80038278,-2,4.093981743,0.617825508,3
1_voice_en_35042754_wavlip,42.45102381,5.770624463,4.95849459,4.947805362,55.43293197,0.457659915,0.359748774,4.706552726,42.77820465,50.67576424,0.324844801,0.393047561,30.6998558,0.334499277,0.247367055,4.218076144,4.773417348,4.711048709,0.883054171,0.907585229,0.877874208,-3,5.492610931,0.012454987,1.4
10_voice_en_36505760_ahead,26.29643335,4.578768075,5.796110843,3.991022002,73.41472698,0.586201349,0.573024558,4.06654281,56.43682877,68.43774082,0.654858269,0.623700746,82.52426726,0.592894741,0.099266282,3.677937347,3.937215643,4.945231215,0.804559131,0.838493284,0.796020995,1,6.050934792,0.423751831,2
10_voice_en_36505760_dinet,25.74740304,6.0500612,3.93208365,5.051525337,67.0590321,0.557129816,0.464512539,4.926735045,66.13429958,70.01692341,0.564810029,0.649242231,54.81706349,0.430001279,0.29022261,4.899436787,4.859068287,5.204814509,0.813919283,0.845143592,0.834635503,-1,5.369972706,0.979892254,3.6
10_voice_en_36505760_dreamtalk,22.38455907,5.036875464,4.927644565,4.445518031,75.48724007,0.635368502,0.595943063,4.080077976,66.1824921,69.53718784,0.677506692,0.634382312,82.85003795,0.613153589,0.187911132,4.016195852,4.224980106,4.905485348,0.767429288,0.797462608,0.775669803,-1,4.440154076,0.395597458,2
10_voice_en_36505760_iplap,28.15857855,5.968444494,4.081564116,4.420563672,63.64200038,0.555482378,0.469516435,5.066802989,62.99321519,65.15323867,0.586532104,0.634393615,59.09047335,0.41801908,0.265496266,4.678613486,4.85837369,5.221634606,0.950888386,0.969427943,0.958189042,0,3.015257835,1.196171761,3.3
10_voice_en_36505760_mkittalk,34.14535231,3.791062655,5.861481248,3.997929624,65.7401388,0.490928674,0.443571173,3.683913108,49.58995392,56.30587896,0.638049803,0.601491552,64.05037472,0.490431305,0.06115978,3.586386687,3.637238753,4.536565793,0.795953886,0.866979615,0.808966466,-3,3.717755318,0.10472393,3
10_voice_en_36505760_sad,28.65591633,4.979912853,5.517522134,5.346681915,76.51514378,0.493514907,0.54085402,4.590940895,75.80196656,74.80504115,0.544012643,0.680866186,78.64742826,0.553484751,0.337898656,4.665595879,4.591527499,5.054387063,0.860412508,0.889134054,0.881707689,0,5.279195309,0.143137455,4.6
10_voice_en_36505760_vidtalk,37.1645751,4.109812865,5.40973608,5.025111044,56.56448876,0.337435657,0.320693801,4.207550936,53.82859081,54.95467972,0.444910781,0.569771378,41.40126007,0.319601189,0.201688747,4.457709112,4.64991492,5.087867195,0.825788191,0.85761261,0.828439382,-1,6.204459667,0.299886227,2.3
10_voice_en_36505760_wavlip,32.18680468,5.773623247,4.09300842,4.078530643,61.50000702,0.54066927,0.447447763,5.060285531,52.84166093,58.38801475,0.379760117,0.50374999,53.68806226,0.413928995,0.239956503,4.662944397,4.744000574,4.856839002,0.893533541,0.935981521,0.906756618,-2,6.639802456,0.836923122,2.4
10_voice_en_36505761_ahead,27.99903962,4.411661971,5.864070163,4.000176824,72.43887755,0.576651022,0.557477899,4.039952305,54.73519346,69.03307295,0.64615418,0.635136599,81.71945694,0.572875746,0.097610698,3.694999777,3.961269121,4.964182528,0.777079357,0.808923424,0.781762245,1,4.393672466,0.151910305,1.5
10_voice_en_36505761_dinet,26.00824478,6.036139869,3.93751661,5.074545226,67.27573329,0.554793838,0.466406154,4.935587495,66.33275766,70.08813368,0.561086652,0.649673845,55.03946159,0.430720765,0.293153527,4.894407061,4.869257545,5.205396394,0.815352494,0.845767641,0.831105292,-1,4.198005199,0.899179935,4.3
10_voice_en_36505761_dreamtalk,22.98398852,4.994479478,5.081481077,4.492722263,75.53342434,0.633964197,0.590616404,4.071662904,66.28796833,69.66190072,0.694895251,0.635621714,82.67471057,0.614464438,0.189733825,4.029561109,4.236731242,4.950692748,0.769605355,0.813341063,0.771557846,-1,3.46924305,0.282730103,2.7
10_voice_en_36505761_iplap,28.03706932,5.967706199,4.075094075,4.463584507,63.82420988,0.55379731,0.470381188,5.074900092,63.05107694,65.21121292,0.584494349,0.634909835,59.24076655,0.417371599,0.264786367,4.684139158,4.841107726,5.222767125,0.950468381,0.970185917,0.958954437,0,2.150172234,0.067221642,3
10_voice_en_36505761_mkittalk,30.76973826,3.833583036,5.877282365,3.987034904,66.29968609,0.480602163,0.47089926,3.741016903,49.14906591,60.64689654,0.659878811,0.612179288,66.38393636,0.501728968,0.06390391,3.545870439,3.715545043,4.570500044,0.827459499,0.8772389,0.832164758,-3,3.343699455,0.612674713,3.2
10_voice_en_36505761_sad,27.2207137,5.189571779,5.421824517,5.386003604,76.95955021,0.493073532,0.539050915,4.600921264,76.23977581,75.0619736,0.548418442,0.684820213,78.28604007,0.553138239,0.346986479,4.656798879,4.648242283,5.071191751,0.860331041,0.888184904,0.880113196,0,5.003102303,0.206638336,4.5
10_voice_en_36505761_vidtalk,37.04594449,4.091343809,5.400120011,5.039722558,56.63511575,0.334670162,0.319612285,4.218238301,53.74326203,54.99236963,0.447237627,0.570695777,41.17559211,0.320436198,0.204942089,4.453715256,4.636246148,5.102865596,0.827073155,0.856954238,0.82809745,-1,5.063134193,0.867019653,2.2
10_voice_en_36505761_wavlip,31.96923461,5.781693314,4.096608649,4.120808448,61.39852217,0.545404041,0.445997868,5.06198632,52.63767667,58.38129497,0.381133059,0.500726075,53.44403354,0.417131704,0.243497313,4.676295307,4.745559428,4.823884238,0.89361613,0.936155193,0.910124372,-2,5.703995228,0.845504284,1.9
10_voice_en_36505762_ahead,26.85373697,4.589100324,5.959426991,3.929669351,73.50494549,0.591885407,0.562664319,4.031212971,55.96278933,68.4942353,0.62630564,0.625277147,83.04873794,0.59296616,0.100154894,3.660125147,3.94402184,4.941140847,0.801205517,0.832802431,0.794996873,1,5.163409233,0.671685219,1.6
10_voice_en_36505762_dinet,26.07708064,6.02441324,3.946659824,5.08851764,67.03670477,0.55743686,0.466349767,4.933713824,66.33267525,70.07422486,0.56512416,0.649233416,54.82157046,0.429182868,0.288495326,4.911478017,4.850948493,5.193032937,0.808952126,0.839427984,0.827610114,-1,6.016912937,0.443686008,3.5
10_voice_en_36505762_dreamtalk,21.53117057,5.078599576,4.933483323,4.40818303,75.44575792,0.636462009,0.602115797,4.088928669,67.17825267,69.19571228,0.680912893,0.62715767,83.37320554,0.620326775,0.186557759,4.042314139,4.252687466,4.938181584,0.768403617,0.811937366,0.777864526,-1,4.204155922,0.608709335,2.3
10_voice_en_36505762_iplap,28.19337667,5.954803832,4.086922484,4.412776329,63.69283933,0.555277873,0.468965333,5.069171621,63.12741614,65.11545544,0.586100205,0.634824046,59.10266936,0.417097092,0.262923908,4.681080732,4.850743539,5.219935741,0.953026642,0.971274072,0.961410194,0,2.615312576,0.860990524,3.2
10_voice_en_36505762_mkittalk,31.7764662,3.896591805,5.916155345,4.030843658,66.32457658,0.494719304,0.471582704,3.749596681,49.78953166,59.43546125,0.665066013,0.614065523,65.84595618,0.510930041,0.070281802,3.569094791,3.716158586,4.493050795,0.828406185,0.876909365,0.838659964,-3,3.326725006,0.514001846,3.3
10_voice_en_36505762_sad,28.05167763,5.139856281,5.387485724,5.391226941,77.06010315,0.481277966,0.536133312,4.559482555,75.93656493,74.86094161,0.558586858,0.686276267,78.7484341,0.558327062,0.335781227,4.616878847,4.66596749,5.012751216,0.878421136,0.901547811,0.895154706,0,5.157372475,0.775701523,4.5
10_voice_en_36505762_vidtalk,37.25130373,4.113042885,5.417444038,5.048225911,56.79833299,0.329225985,0.32312411,4.211515408,53.81413488,55.18810284,0.448116238,0.571017442,41.37353618,0.323051412,0.204588832,4.453434495,4.637592488,5.132338901,0.823733474,0.854754669,0.828774131,-1,5.603485107,0.639430046,2.8
10_voice_en_36505762_wavlip,32.44196409,5.78183798,4.110281263,4.110758413,61.61105708,0.545537138,0.447222399,5.051793105,53.02853822,59.2525622,0.379798677,0.497491788,53.66132136,0.416550785,0.241956298,4.676276231,4.75692911,4.868813467,0.891268487,0.935772509,0.908876464,-3,6.893938065,0.447155952,2
10_voice_en_36505763_ahead,26.54489564,4.589033319,5.801135741,4.16508852,71.90893091,0.596848733,0.580597886,4.005079341,55.48409671,68.15872223,0.644400034,0.630164155,82.62097636,0.580662543,0.095656331,3.675644349,3.9503216,4.938486254,0.795602943,0.840832348,0.792923821,0,6.899608135,0.729846478,2.3
10_voice_en_36505763_dinet,25.88061215,6.028569378,3.946648704,5.079755018,67.34109748,0.556572219,0.465143959,4.912428762,66.30852402,70.09128793,0.570418591,0.651558663,54.95772238,0.427071128,0.287969514,4.882727238,4.875300674,5.233905277,0.82364229,0.854677759,0.842299187,-1,7.048620224,0.642950058,3.8
10_voice_en_36505763_dreamtalk,21.67731882,5.065915566,4.924906708,4.366296967,75.48974361,0.631538726,0.592350889,4.052376588,66.31626843,69.26795173,0.701726256,0.637432968,82.33539064,0.611034584,0.175623302,4.007667839,4.27604481,4.86529758,0.77250386,0.80930822,0.774001549,-1,6.593760967,0.481497288,3
10_voice_en_36505763_iplap,28.1744926,5.975600211,4.088349073,4.428267888,63.70445319,0.555295813,0.469077187,5.065565067,63.09186652,65.20173638,0.585932635,0.634566108,59.04798677,0.416907866,0.263138081,4.686617079,4.861351407,5.216502826,0.951057431,0.969596859,0.958554876,0,3.849154472,0.25621891,4.1
10_voice_en_36505763_mkittalk,33.5119187,3.613287431,6.052278546,3.958778419,63.79194568,0.481206527,0.445911155,3.65215069,46.88540617,54.38987433,0.62623302,0.59936231,63.36217033,0.487981498,0.060472408,3.552283556,3.603031965,4.532472623,0.806573071,0.864505112,0.813452314,-3,3.338137627,0.80145359,3
10_voice_en_36505763_sad,30.50410795,4.808775873,5.626894683,5.354506461,76.97632273,0.492261379,0.538516213,4.560136299,75.93852968,75.1131346,0.540787819,0.680615465,78.74746863,0.558973763,0.336713631,4.693661578,4.665376677,5.007312588,0.834886449,0.874572405,0.855498642,-1,6.828164577,0.600078106,4.3
10_voice_en_36505763_vidtalk,37.27775262,4.100450548,5.423316303,5.048729981,56.83404326,0.329291608,0.321697579,4.214794819,53.912525,55.16931344,0.442311597,0.56918276,41.1349159,0.321445648,0.20732621,4.452816729,4.63502137,5.146971069,0.823063189,0.855730012,0.827139701,-1,6.886588097,0.240188599,2
10_voice_en_36505763_wavlip,32.26753398,5.788574672,4.090966691,4.095983385,61.55227811,0.541794114,0.447141104,5.051776309,53.05411714,59.03774728,0.377544778,0.505702038,53.76628327,0.414659538,0.240041488,4.672901558,4.747218172,4.84931008,0.892121806,0.937792742,0.910460286,-2,6.978254318,0.101779938,1.7
10_voice_en_36516950_ahead,25.68087845,4.580954622,5.696355859,4.105672151,73.40230288,0.589143476,0.577245034,4.01566136,55.08406302,68.85784137,0.643011486,0.641405167,83.00013366,0.588557501,0.100592579,3.683090824,3.933482128,4.968600982,0.795157099,0.832859814,0.793173352,0,4.090236187,0.780390263,1.8
10_voice_en_36516950_dinet,25.59785987,6.038052732,3.912309017,5.121943213,67.53567219,0.557329809,0.4678911,4.922510427,66.64283161,70.47218777,0.570616652,0.653000719,55.27308344,0.432050353,0.291268719,4.888193209,4.855683528,5.210950051,0.811683297,0.851129814,0.837297954,-1,3.979449272,0.594477654,3.2
10_voice_en_36516950_dreamtalk,23.36207015,5.016140098,5.074574138,4.520949991,75.48298201,0.629341593,0.59927917,4.113078489,66.21907146,69.25493181,0.666371562,0.627959747,83.08403854,0.611954237,0.194922202,4.033679841,4.245889438,4.907629428,0.769018757,0.811675068,0.77445855,-1,3.095282555,0.183474541,1.8
10_voice_en_36516950_iplap,27.83014448,5.967284391,4.059465717,4.460549915,63.89846316,0.556338365,0.472395895,5.077449386,63.15376206,65.28059895,0.590544831,0.637306694,59.61265683,0.420059223,0.263739162,4.688496404,4.850259576,5.213396835,0.954371999,0.972073409,0.960384734,0,2.476006508,0.274914742,2.7
10_voice_en_36516950_mkittalk,30.66213946,3.893176757,5.879476508,4.156808541,65.5447583,0.493820424,0.473071276,3.774959337,51.3387633,61.21737922,0.658123223,0.609327012,67.0557181,0.5154838,0.073553346,3.632394643,3.727395634,4.669849656,0.824938097,0.880576454,0.833304063,-3,2.372753143,0.764557838,2
10_voice_en_36516950_sad,27.8210645,5.150118971,5.423309849,5.386113735,76.81255393,0.484165256,0.536099569,4.58933382,75.94474111,74.88586861,0.533653651,0.685987562,78.66299686,0.554150447,0.355133942,4.660923707,4.635898991,5.083439695,0.858727005,0.889758652,0.875090703,0,4.981199741,0.923202991,4.5
10_voice_en_36516950_vidtalk,36.90386467,4.113272025,5.400918622,5.03975817,56.90803349,0.336899199,0.320801294,4.220680406,53.76437117,54.93633223,0.445362115,0.569111627,41.73208299,0.318876816,0.20442918,4.460559927,4.653183956,5.09175591,0.820678017,0.85268921,0.825579063,-2,5.271267891,0.952833176,2.2
10_voice_en_36516950_wavlip,32.02785979,5.78103968,4.081605768,4.10988266,61.67775977,0.542712567,0.449022745,5.072257374,52.91761963,58.51308477,0.385499713,0.511867377,53.95150514,0.417031261,0.238210188,4.658167998,4.744512074,4.882161056,0.890391021,0.931736351,0.902249059,-2,5.857620239,0.218297958,1.7
11_voice_en_35869088_ahead,17.94000019,5.480523797,5.614143027,4.111461709,76.22319296,0.558754697,0.524462252,3.90089293,57.40701067,61.50566578,0.610257726,0.594617832,78.28250843,0.538938289,0.101909415,3.459814377,4.009509425,5.021842352,0.667521385,0.758260446,0.610352112,1,5.750623703,0.04313755,2.2
11_voice_en_35869088_dinet,37.7290719,6.51962754,3.462944799,5.372670316,70.27133115,0.652829335,0.456201233,4.516357173,63.59328936,64.52187859,0.64957528,0.656408866,63.16243231,0.461175618,0.343704177,4.725606189,4.833588225,4.995864398,0.803509617,0.831246515,0.742799069,0,5.068327904,0.066630363,3.4
11_voice_en_35869088_dreamtalk,12.92342642,7.986011599,4.274553302,4.594277206,75.21058404,0.673936109,0.561619131,3.975482873,59.55489877,63.9104143,0.758224373,0.605247555,85.48604538,0.584851316,0.17172128,3.781037598,4.109263522,4.936198393,0.633611424,0.737718464,0.608482828,0,5.547759056,0.330513954,2
11_voice_en_35869088_iplap,38.72370647,6.516182773,3.46317748,5.301947706,67.81921173,0.651280316,0.441515406,4.502867948,58.54226142,62.78686262,0.612882724,0.631308089,59.29604864,0.442400733,0.296070728,4.682926353,4.775736049,5.160744995,0.962880554,0.976870637,0.946672215,0,1.961914063,1.685499191,2
11_voice_en_35869088_mkittalk,30.32394522,5.726982466,5.34698998,3.822237387,74.54009548,0.435384303,0.423401865,3.823017765,52.01669179,56.16897555,0.729057488,0.575430704,67.00192256,0.479991688,0.055648633,3.704869056,3.703971595,4.798047654,0.797850666,0.869472447,0.747240185,-3,3.718073845,0.924877167,2.2
